username, created_at, lng, lat, text
L_Novaski1, Wed Jan 27 04:29:02 +0000 2021, -81.698887, 28.017305, Too bad your Texas didn’t remain a sovereign state way back when then we would be listening to your BS today Kenny-… https://t.co/XYUXzcqAEk 
leftistthot420, Wed Jan 27 04:29:13 +0000 2021, -111.528078, 33.422364, im gonna be the first transgender hunter biden 
lynn_elizabethh, Wed Jan 27 04:30:04 +0000 2021, -117.462698, 34.108160, don’t bitch about gas prices going up if you voted for biden. you’ll look like a fool. 
ApunkSOF, Wed Jan 27 04:30:19 +0000 2021, 106.831300, -6.332802, prophet Biden miracle 🙈🤑💉😂 
felipeleon88, Wed Jan 27 04:30:23 +0000 2021, -78.556681, -0.166570, Desde que Joe Biden llego a Washington ya nadie tiene la menor idea de nada. Ha sido contagioso. https://t.co/MpbO91pFHI 
NorCalSportsFan, Wed Jan 27 04:30:30 +0000 2021, -121.877735, 37.662948, @thehill Every border state should file lawsuit. Crazy policy. Now masses will be trying to get in from Central Ame… https://t.co/lSfEzZoigA 
alwaysUSA1st, Wed Jan 27 04:30:30 +0000 2021, -119.306608, 37.269176, Could? I believe definitely! 
denises76521661, Wed Jan 27 04:30:38 +0000 2021, -74.153947, 40.572376, https://t.co/gj14UP7nE0 
tvenezia2, Wed Jan 27 04:30:53 +0000 2021, -72.801980, 41.537233, @Hoigwai @RepAdamSchiff @RandPaul Rules for Rand Paul but not for Biden? 🤔 
KLB_Nevada, Wed Jan 27 04:31:02 +0000 2021, -117.022695, 38.502147, Do I think President Biden is a Saint? No.But it cracks me up every time I see photos with circles behind his head… https://t.co/zm7mGSoh8N 
ladybug2u, Wed Jan 27 04:31:04 +0000 2021, -122.813016, 49.016725, ❤️🤍💙 
bostonsfavson, Wed Jan 27 04:31:22 +0000 2021, -71.326858, 42.636248, Don’t put your stock in on Pfizer right away folks https://t.co/NzKZklbqSF 
worldtrotter42, Wed Jan 27 04:31:32 +0000 2021, -106.632718, 35.117002, This right here! I’ve worked directly with rural Alaskan Natives &amp; Diné &amp; various tribes on these issues. The healt… https://t.co/ESxk0MsVwq 
JFDSFla, Wed Jan 27 04:31:34 +0000 2021, -80.149173, 26.150368, Congress needs to keep up with President Biden! 
Jesse_A_Adams, Wed Jan 27 04:31:43 +0000 2021, -84.470729, 33.861402, Yep. No part of criminal justice should EVER be privatized. 
JLoganINC, Wed Jan 27 04:32:00 +0000 2021, -88.040002, 41.791584, Gotta say, I love this President of ours. #PresidentBiden 
EveylnM67, Wed Jan 27 04:32:13 +0000 2021, -79.420865, 38.003376, @PromThesis @kylegriffin1 There are actually poor whites than blacks. Biden can't pull one up without the other.Yo… https://t.co/A8beLPmpYf 
Ash_G_Salisbury, Wed Jan 27 04:32:16 +0000 2021, -95.446486, 29.838495, https://t.co/gXQaFix84U 
aniela1947, Wed Jan 27 04:32:23 +0000 2021, -74.096050, 40.902760, SOROS along with loony Bill Gates. 
georgeh62867445, Wed Jan 27 04:32:23 +0000 2021, -89.266508, 39.739300, @seanhannity Biden is a idiot and a puppet 
syed2000, Wed Jan 27 04:32:49 +0000 2021, 67.678945, 33.930445, NATO Secretary General Jens Stoltenberg spoke to #US President  Biden on Tuesday evening."They discussed the range… https://t.co/DNRcnGC49E 
pattymchugh1212, Wed Jan 27 04:32:55 +0000 2021, -77.604684, 41.117936, 👏👏👏👏👏👏👏👏👏👏😄😄😄😄😄😄😄😄😄❤️🤍💙❤️🤍💙 
FaganLarry, Wed Jan 27 04:32:56 +0000 2021, -83.804475, 27.698682, It is what it is...Murder! 
ca963, Wed Jan 27 04:33:08 +0000 2021, -119.306608, 37.269176, @JaneJon54227850 @Lesdoggg That is what Biden was doing with one of the executive orders which is why the contracto… https://t.co/XWAVVHUWXz 
iloanya1, Wed Jan 27 04:33:14 +0000 2021, -100.076888, 31.168893, This is why you vote and not sit Yo ass down and pout because you don’t get all you want..... 
KristenMinton14, Wed Jan 27 04:33:18 +0000 2021, -80.737633, 28.258804, @justapirateman @Jim_Jordan Nothing has been handled except for a slew of Biden's Executive Orders which was basica… https://t.co/GHiwkRsxMp 
jmillett0787, Wed Jan 27 04:33:23 +0000 2021, -71.845887, 42.052812, Cus they stupid 
FTwittler, Wed Jan 27 04:33:44 +0000 2021, -80.121529, 26.840806, -#biden wil NOT ban #fracking NYC #pension funds to divest  #billions from fossil fuels https://t.co/cpdkGHwqNt- 
wingdigit, Wed Jan 27 04:34:08 +0000 2021, -80.285189, 26.078170, That's a fantastic line, and a fantastic dream! 
weareonespirit, Wed Jan 27 04:34:21 +0000 2021, -82.729516, 34.518184, #ChinaVirus 
Shawn20768, Wed Jan 27 04:34:41 +0000 2021, -83.381166, 42.571954, Of course its such a mystery 🇨🇳 
CANTWAITBS, Wed Jan 27 04:34:41 +0000 2021, -90.168199, 29.960024, Calling on my Texas people to vote this man out. 
AuroraPicardat, Wed Jan 27 04:35:09 +0000 2021, -80.135715, 25.855232, @Divine137 @ChuckCallesto Can you please do invalidate Biden’s presidency ASAP before he destroys our country? 
MIF_Maria1, Wed Jan 27 04:35:09 +0000 2021, -80.134986, 26.373976, He also said: ‘from day one I will work to fight covid’. Instead he spent days signing EOs. 
RichardGaribay, Wed Jan 27 04:35:18 +0000 2021, -117.173571, 34.052874, @Jashouh 
m_kordon, Wed Jan 27 04:35:31 +0000 2021, -81.477839, 40.515069, @RandPaul @POTUS I'm one of those. My prescription went up by 80 dollars. Because of communist biden 
954Nole, Wed Jan 27 04:35:35 +0000 2021, -80.327999, 26.027890, 🇺🇸❤️🙏🏼 
JeanSegersPhoto, Wed Jan 27 04:35:43 +0000 2021, 3.410416, 50.620547, Dès leur premier appel, Biden et Poutine évoquent "l'empoisonnement" de Navalnyhttps://t.co/K01kl5Cf5p 
domingue_pierre, Wed Jan 27 04:36:18 +0000 2021, -73.054142, 19.055430, @WhiteHouse  congratulation! President Biden 
JonLeeOSC, Wed Jan 27 04:36:42 +0000 2021, -79.272570, 43.629311, @JustinTrudeau - What are you doing for 🇨🇦 #cdnpoli 
jeffdmoore, Wed Jan 27 04:37:26 +0000 2021, -92.177808, 38.552600, Everyone from farms and rural communities should oppose this.  The inheritance tax needs to “die.”  This will kill… https://t.co/zNRFnACfk8 
ChelleStafford, Wed Jan 27 04:37:36 +0000 2021, -111.880874, 33.282450, 🤦‍♀️ wow. 
M_Baranowski, Wed Jan 27 04:37:45 +0000 2021, 21.061790, 52.232836, Current U.S. - Russia agenda.     Yep... #NoReset                                       Full read out here:… https://t.co/sGLKFF1v8i 
jammumediaa, Wed Jan 27 04:38:17 +0000 2021, 74.924171, 32.632902, World records 100 million Covid-19 casesWORLD NEWS: More than 100 million Covid-19 cases have now been recorded w… https://t.co/NSzKe6ufMh 
JK13, Wed Jan 27 04:38:21 +0000 2021, -83.148043, 42.579003, Imagine having one your phone calls socialized like this one. I guess some social media accounts, in 1st person, wo… https://t.co/rGvJWb2mh4 
5angrydragons, Wed Jan 27 04:38:26 +0000 2021, -149.758794, 61.235042, So right! 
EntGRCSolutions, Wed Jan 27 04:39:07 +0000 2021, -121.914529, 37.715531, The enormous difference is that @POTUS Biden’s plan prioritizes supporting Minority Owned Small Business as opposed… https://t.co/tKXFPHhbvN 
DeborahLynnSen2, Wed Jan 27 04:39:12 +0000 2021, -119.306608, 37.269176, https://t.co/J1ECnrANEXEight hundred likes + 10 Thousand thumbs down!!Not too good for Biden Admin!Socialism is… https://t.co/q561fBtU6H 
Christyjoyjoy, Wed Jan 27 04:39:44 +0000 2021, -110.915573, 32.189391, He’s so awesome ♥️ 
vic_tracy, Wed Jan 27 04:39:52 +0000 2021, -76.517722, 39.360546, The real #JoeBiden 
